"Plot_ID","Site_ID","SiteType","Plot_Type","Country","Organization_Name","Plot_Permanence","Monitoring_Plot_Size","Strata_Number","Timeframe","Date","Resample_Main_Plot","Resample_3x3_Subplot","OtherTime","Start_Time","End_Time","SiteSize","ControlSize","TreesPresent","PlantingPattern","Coordinate_System_Used","NE_Photo","SE_Photo","SW_Photo","NW_Photo","Photos","NE_Photo_Small_Site","SE_Photo_SmallSites","SW_Photo_SmallSites","NW_Photo_SmallSites","main_index","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_submitted_by","Photo_of_AB_Sightline2","Photo_of_AC_Sightline2","Photo_of_AD_Sightline2","Description_of_subpl_ithin_30m_x_30m_plot2","Additional_Photos_Optional3","rootUuid","deprecatedID","Notes17","TinyTrees","Photo_of_AB_Sightline1","Photo_of_AC_Sightline1","Photo_of_AD_Sightline1","Notes21","Notes5","Notes11","Description_of_subpl_ithin_30m_x_30m_plot1","LittleTreesPresent","Notes14","Photos4","Additional_Photos_Optional1","File"
"Test","Test","Restoration","restoration",NA,"Test","Permanent",NA,NA,"Y2.5",2022-06-16,"0","0",NA,"10:30:00.000-04:00","10:45:00.000-04:00",NA,NA,NA,"Test","Test",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,163622967,"5fd2c309dc8446ada30a1db9fd875804","vwzPz2e7nNtdxdiAcRbjFf","uuid:bf164097-aa30-4b0c-b497-326010aba216","axhiGJQ8JzwkTYcgDTroJu","bf164097-aa30-4b0c-b497-326010aba216","submitted_via_web",2022-06-16 14:31:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251-49","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"10:30:00.000+02:00","10:54:00.000+02:00","Yes",NA,NA,"Arbre planté en ligne tous les 2 mètres sur des cloisonnements tous les 5 mètres","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,189469011,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:9bfe19b7-2091-4b9a-9000-dd4d62cfe0a5","axhiGJQ8JzwkTYcgDTroJu","9bfe19b7-2091-4b9a-9000-dd4d62cfe0a5","submitted_via_web",2022-10-03 09:13:32,NA,"16647867239183217965871780471352-10_45_47.jpg","16647867530562710682731656171905-10_46_4.jpg","16647867700588652795378668888659-10_46_20.jpg","Centre sud de la placette","16647872092926664282381321901998-10_54_4.jpg","f249d942-0033-4498-8f4d-12dcca83a0a3","uuid:f249d942-0033-4498-8f4d-12dcca83a0a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"1","0",NA,"12:00:00.000+02:00","12:15:00.000+02:00","Yes",NA,NA,"Idem 46","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,189528140,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:201954e1-46c8-4b72-8423-2d1e552038ca","axhiGJQ8JzwkTYcgDTroJu","201954e1-46c8-4b72-8423-2d1e552038ca","submitted_via_web",2022-10-03 13:08:44,NA,"1664791532878982200307480780860-12_5_43.jpg","16647915532907076487963834385164-12_6_5.jpg","16647915727069097555052897695431-12_6_21.jpg","Au sud de la placette",NA,"5ec5f998-6958-4f92-bef7-54b3dbeed5fb","uuid:5ec5f998-6958-4f92-bef7-54b3dbeed5fb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"12:18:00.000+02:00","12:28:00.000+02:00","Yes",NA,NA,"Idem46","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,189528190,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:dbbb1737-4480-42d8-a0dc-8eb073a0f17f","axhiGJQ8JzwkTYcgDTroJu","dbbb1737-4480-42d8-a0dc-8eb073a0f17f","submitted_via_web",2022-10-03 13:08:52,NA,"16647925063564510485486944654789-12_21_57.jpg","16647925249912958967334461110684-12_22_28.jpg","16647925553446375089630103694246-12_22_44.jpg","Milieu placette","16647929219507486487339386944561-12_28_48.jpg","92a4d70d-d8b5-4f63-b5e7-e6d91e01ac1b","uuid:92a4d70d-d8b5-4f63-b5e7-e6d91e01ac1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","333","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"12:37:00.000+02:00","12:44:00.000+02:00","Yes",NA,NA,"Idem 46","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,189528232,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:74aa531a-fbcc-4040-90fb-d7ceb00401dd","axhiGJQ8JzwkTYcgDTroJu","74aa531a-fbcc-4040-90fb-d7ceb00401dd","submitted_via_web",2022-10-03 13:09:01,NA,"16647933820795193674326414698734-12_36_31.jpg","16647934015906324668743582360318-12_36_58.jpg","16647934281095566219728701262136-12_37_14.jpg",NA,NA,"9217974c-0957-4ecd-9162-11aaaf9d9b3e","uuid:9217974c-0957-4ecd-9162-11aaaf9d9b3e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","333","Control","Control","France","Reforest Action",NA,"10x10",NA,"Y0",2022-10-03,"0","0",NA,"12:51:00.000+02:00","13:05:00.000+02:00",NA,"Yes",NA,NA,"Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,189529455,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:1322f51c-35fc-4549-8b84-fd0c6d0c4f1d","axhiGJQ8JzwkTYcgDTroJu","1322f51c-35fc-4549-8b84-fd0c6d0c4f1d","submitted_via_web",2022-10-03 13:13:59,NA,NA,NA,NA,NA,NA,"f15aeb99-f04a-4408-abde-6e2783d070a6","uuid:f15aeb99-f04a-4408-abde-6e2783d070a6",NA,NA,"1664794626084150368945181138703-12_57_13.jpg","16647946381558512125409165457567-12_57_25.jpg","16647946517055193460289281338085-12_57_38.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","329","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"14:51:00.000+02:00","15:09:00.000+02:00","Yes",NA,NA,"1 plante à chaque 2m, distance entre Ligne de 5m","Lambert 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,189531213,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:d3d7c496-a491-4339-b356-baca9ee020d5","axhiGJQ8JzwkTYcgDTroJu","d3d7c496-a491-4339-b356-baca9ee020d5","submitted_via_web",2022-10-03 13:21:50,NA,"16648018685504277432282498378398-14_58_11.jpg","16648018985222602792933930457430-14_58_43.jpg","16648019286412887956090006566723-14_59_5.jpg",NA,"16648021973261592661715682975349-15_3_27.jpg","a82dcba1-a643-4d1d-8205-6eaab34c6cce","uuid:a82dcba1-a643-4d1d-8205-6eaab34c6cce","Petit hêtre à côté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","329","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"15:11:00.000+02:00","15:20:00.000+02:00","Yes",NA,NA,"Same as 28","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,189532405,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:2aed3cce-734b-42c1-9dbf-c7d995b36b6c","axhiGJQ8JzwkTYcgDTroJu","2aed3cce-734b-42c1-9dbf-c7d995b36b6c","submitted_via_web",2022-10-03 13:27:59,NA,"16648029551141011666734842248524-15_16_9.jpg","16648029768048831672668479849515-15_16_33.jpg","16648029994328001965382164563350-15_16_48.jpg",NA,NA,"e82ae4f9-f7dc-4aa7-8f3a-c01f6ae4c121","uuid:e82ae4f9-f7dc-4aa7-8f3a-c01f6ae4c121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","329","Restoration","Restoration","France","Reforest Action","Permanent","30x30",NA,"Y0",2022-10-03,"0","0",NA,"16:27:00.000+02:00","16:34:00.000+02:00","Yes",NA,NA,"Same as 28","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,189551226,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:6220cc99-c277-422e-bb43-d09388f85ed1","axhiGJQ8JzwkTYcgDTroJu","6220cc99-c277-422e-bb43-d09388f85ed1","submitted_via_web",2022-10-03 14:34:19,NA,"image-16_30_55.jpg","image-16_31_14.jpg","image-16_31_38.jpg",NA,"image-16_33_32.jpg","40f3aa62-e609-42e1-8658-99c140c42af2","uuid:40f3aa62-e609-42e1-8658-99c140c42af2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","329","Control","Control","France","Reforest Action",NA,"10x10",NA,"Y0",2022-10-03,"0","0",NA,"16:39:00.000+02:00","16:45:00.000+02:00",NA,"Yes",NA,NA,"Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,189563709,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:d1798e41-dc80-47fc-97b3-9774e044adfe","axhiGJQ8JzwkTYcgDTroJu","d1798e41-dc80-47fc-97b3-9774e044adfe","submitted_via_web",2022-10-03 15:34:05,NA,NA,NA,NA,NA,NA,"a924a5b1-22e5-4e24-9909-f3b4cbd30609","uuid:a924a5b1-22e5-4e24-9909-f3b4cbd30609",NA,NA,"image-16_42_17.jpg","image-16_42_28.jpg","image-16_42_48.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
