"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Quercus robur","planted",2,"<10cm planted","333","251-49","France","Reforest Action","Restoration","Restoration","3x3",2,3,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Arbre planté en ligne tous les 2 mètres sur des cloisonnements tous les 5 mètres","Y0"
"Quercus robur","planted",2,"<10cm planted","333","43","France","Reforest Action","Restoration","Restoration","3x3",3,5,"main","Nested_3x3_within_30x30",NA,"Permanent","1","0","Idem 46","Y0"
"Sorbus torminalis","planted",2,"<10cm planted","333","42","France","Reforest Action","Restoration","Restoration","3x3",7,6,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem46","Y0"
"Quercus robur","planted",2,"<10cm planted","333","42","France","Reforest Action","Restoration","Restoration","3x3",8,6,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Idem46","Y0"
"Douglas","planted",2,"<10cm planted","329","34","France","Reforest Action","Restoration","Restoration","3x3",16,18,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","Same que 28","Y0"
NA,"planted",NA,"<10cm planted","488","R1","UAE","Emirate Nature - WWF","Restoration","Restoration","3x3",48,40,"main","Nested_3x3_within_30x30",NA,"Permanent","0","0","50cm above and below existing mangrove line in a zig zag formation. In areas where soils get inundated further inland, a further row of mangroves are planted in a 50cm pattern above the upper line of mangroves","Y0"
"Quercus robur","planted",2,"<10cm planted","333","41","France","Reforest Action","Restoration","Restoration","3x3",NA,7,NA,"main","Nested_3x3_within_30x30","Permanent","0","0","Idem 46","Y0"
"Larix decidua","planted",2,"<10cm planted","329","30","France","Reforest Action","Restoration","Restoration","3x3",NA,14,NA,"main","Nested_3x3_within_30x30","Permanent","0","0","Samedi as 28","Y0"
NA,"planted",NA,"<10cm planted","333","46","France","Reforest Action","Restoration","Restoration","30x30",1,4,"main","Normal_30x30_2",NA,"Permanent","0","0","Plantation tous les 3 mètre avec cloiso de 5m","Y0"
"Acacia auriculiformis","planted",2,"<10cm planted","Rr","T5","India","Grow Trees","Restoration","Restoration","30x30",57,55,"main","Normal_30x30_2",NA,"Randomized","0","0","1.5x1.5m","Y0"
"Azadirachta indica","planted",1,"<10cm planted","Rr","T5","India","Grow Trees","Restoration","Restoration","30x30",58,55,"main","Normal_30x30_2",NA,"Randomized","0","0","1.5x1.5m","Y0"
"Msangu","planted",23,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",666,280,"main","Normal_30x30_2",NA,"Randomized","2","2","2m by 2m","Y0"
"Mphakasa","planted",31,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",667,280,"main","Normal_30x30_2",NA,"Randomized","2","2","2m by 2m","Y0"
"Mlonde","planted",12,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",668,280,"main","Normal_30x30_2",NA,"Randomized","2","2","2m by 2m","Y0"
"Mwavi","planted",24,"<10cm planted","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","30x30",669,280,"main","Normal_30x30_2",NA,"Randomized","2","2","2m by 2m","Y0"
"Cassia siamea","planted",5,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1129,380,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",6,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1130,380,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Assang","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1131,380,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",4,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1132,380,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ontang","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1133,380,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Piptodeniastrum africanum","planted",1,"<10cm planted","96","B10","DRC","Faja Lobi","Restoration","Restoration","30x30",1134,380,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",4,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1135,381,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",5,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1136,381,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",3,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1137,381,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Assang","planted",1,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1138,381,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis","planted",1,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1139,381,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",16,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1140,382,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",12,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1141,382,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",15,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1142,382,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",13,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1143,382,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
